Changed database context to 'AUTONOMA'.
TableName,ColumnName
HRM_EMP_EDUCATION,year_of_passing
HRM_EMP_EDUCATION,percentage_grade
HRM_EMP_EDUCATION,documents
HRM_EMP_EDUCATION,created_by
HRM_EMP_EDUCATION,created_date
HRM_EMP_EDUCATION,updated_by
HRM_EMP_EDUCATION,updated_date
HRM_EMP_EMERGENCY_CONTACT,id
HRM_EMP_EMERGENCY_CONTACT,employee_id
HRM_EMP_EMERGENCY_CONTACT,contact_name
HRM_EMP_EMERGENCY_CONTACT,relation
HRM_EMP_EMERGENCY_CONTACT,address1
HRM_EMP_EMERGENCY_CONTACT,address2
HRM_EMP_EMERGENCY_CONTACT,mobile_number
HRM_EMP_EMERGENCY_CONTACT,home_phone_number
HRM_EMP_EMERGENCY_CONTACT,created_by
HRM_EMP_EMERGENCY_CONTACT,created_date
HRM_EMP_EMERGENCY_CONTACT,updated_by
HRM_EMP_EMERGENCY_CONTACT,updated_date
HRM_EMP_EXPERIENCE,id
HRM_EMP_EXPERIENCE,employee_id
HRM_EMP_EXPERIENCE,company_name
HRM_EMP_EXPERIENCE,location
HRM_EMP_EXPERIENCE,from_date
HRM_EMP_EXPERIENCE,to_date
HRM_EMP_EXPERIENCE,total_experience_months
HRM_EMP_EXPERIENCE,documents
HRM_EMP_EXPERIENCE,created_by
HRM_EMP_EXPERIENCE,created_date
HRM_EMP_EXPERIENCE,updated_by
HRM_EMP_EXPERIENCE,updated_date
HRM_EMP_JOB_PROFILE,id
HRM_EMP_JOB_PROFILE,employee_id
HRM_EMP_JOB_PROFILE,wages_type
HRM_EMP_JOB_PROFILE,payment_mode
HRM_EMP_JOB_PROFILE,salary_account_number
HRM_EMP_JOB_PROFILE,personal_account_number
HRM_EMP_JOB_PROFILE,bank_name
HRM_EMP_JOB_PROFILE,ifsc_code
HRM_EMP_JOB_PROFILE,branch_name
HRM_EMP_JOB_PROFILE,bank_micro_code
HRM_EMP_JOB_PROFILE,office_email
HRM_EMP_JOB_PROFILE,official_password
HRM_EMP_JOB_PROFILE,provident_fund
HRM_EMP_JOB_PROFILE,esi_allowed
HRM_EMP_JOB_PROFILE,professional_tax
HRM_EMP_JOB_PROFILE,bonus
HRM_EMP_JOB_PROFILE,over_time_allowed
HRM_EMP_JOB_PROFILE,over_time_factorial
HRM_EMP_JOB_PROFILE,physically_challenged
HRM_EMP_JOB_PROFILE,loss_of_minutes_deduct
HRM_EMP_JOB_PROFILE,loss_of_minutes_allow
HRM_EMP_JOB_PROFILE,international_worker
HRM_EMP_JOB_PROFILE,lta_eligible
HRM_EMP_JOB_PROFILE,pf_restriction_to
HRM_EMP_JOB_PROFILE,company_contact1
HRM_EMP_JOB_PROFILE,company_contact2
HRM_EMP_JOB_PROFILE,over_time_rate_per_hour
HRM_EMP_JOB_PROFILE,number_of_leave_allow
HRM_EMP_JOB_PROFILE,asset_id1
HRM_EMP_JOB_PROFILE,ip_address1
HRM_EMP_JOB_PROFILE,asset_id2
HRM_EMP_JOB_PROFILE,ip_address2
HRM_EMP_JOB_PROFILE,permission_request
HRM_EMP_JOB_PROFILE,permission_hours
HRM_EMP_JOB_PROFILE,created_by
HRM_EMP_JOB_PROFILE,created_date
HRM_EMP_JOB_PROFILE,updated_by
HRM_EMP_JOB_PROFILE,updated_date
HRM_EMP_KYC,id
HRM_EMP_KYC,employee_id
HRM_EMP_KYC,pf_number
HRM_EMP_KYC,uan_number
HRM_EMP_KYC,pan_number
HRM_EMP_KYC,aadhar_number
HRM_EMP_KYC,driving_license_number
HRM_EMP_KYC,license_expiry_date
HRM_EMP_KYC,election_card_number
HRM_EMP_KYC,ration_card_number
HRM_EMP_KYC,personal_account_number
HRM_EMP_KYC,bank_name
HRM_EMP_KYC,ifsc_code
HRM_EMP_KYC,physically_challenged
HRM_EMP_KYC,physically_challenged_category
HRM_EMP_KYC,international_worker
HRM_EMP_KYC,passport_number
HRM_EMP_KYC,passport_expiry_date
HRM_EMP_KYC,created_by
HRM_EMP_KYC,created_date
HRM_EMP_KYC,updated_by
HRM_EMP_KYC,updated_date
HRM_EMP_KYC_DOCUMENT,id
HRM_EMP_KYC_DOCUMENT,employee_id
HRM_EMP_KYC_DOCUMENT,seq_no
HRM_EMP_KYC_DOCUMENT,document_name
HRM_EMP_KYC_DOCUMENT,document_number
HRM_EMP_KYC_DOCUMENT,attachment
HRM_EMP_KYC_DOCUMENT,file_name
HRM_EMP_KYC_DOCUMENT,created_by
HRM_EMP_KYC_DOCUMENT,created_date
HRM_EMP_KYC_DOCUMENT,updated_by
HRM_EMP_KYC_DOCUMENT,updated_date
HRM_EMP_PASSPORT,id
HRM_EMP_PASSPORT,employee_id
HRM_EMP_PASSPORT,passport_number
HRM_EMP_PASSPORT,passport_issue_city
HRM_EMP_PASSPORT,issue_date
HRM_EMP_PASSPORT,expiry_date
HRM_EMP_PASSPORT,comments
HRM_EMP_PASSPORT,created_by
HRM_EMP_PASSPORT,created_date
HRM_EMP_PASSPORT,updated_by
HRM_EMP_PASSPORT,updated_date
HRM_EMP_PERSONAL_DETAIL,id
HRM_EMP_PERSONAL_DETAIL,employee_id
HRM_EMP_PERSONAL_DETAIL,gender
HRM_EMP_PERSONAL_DETAIL,birth_date
HRM_EMP_PERSONAL_DETAIL,marital_status
HRM_EMP_PERSONAL_DETAIL,marriage_date
HRM_EMP_PERSONAL_DETAIL,number_of_children
HRM_EMP_PERSONAL_DETAIL,email_id
HRM_EMP_PERSONAL_DETAIL,nationality
HRM_EMP_PERSONAL_DETAIL,blood_group
HRM_EMP_PERSONAL_DETAIL,religion
HRM_EMP_PERSONAL_DETAIL,height
HRM_EMP_PERSONAL_DETAIL,weight
HRM_EMP_PERSONAL_DETAIL,shirt_size
HRM_EMP_PERSONAL_DETAIL,pant_size
HRM_EMP_PERSONAL_DETAIL,shoe_size
HRM_EMP_PERSONAL_DETAIL,insurance_number
HRM_EMP_PERSONAL_DETAIL,esic_number
HRM_EMP_PERSONAL_DETAIL,pf_number
HRM_EMP_PERSONAL_DETAIL,insurance_expiry_date
HRM_EMP_PERSONAL_DETAIL,uan_number
HRM_EMP_PERSONAL_DETAIL,pan_number
HRM_EMP_PERSONAL_DETAIL,aadhar_number
HRM_EMP_PERSONAL_DETAIL,driving_license_number
HRM_EMP_PERSONAL_DETAIL,license_expiry_date
HRM_EMP_PERSONAL_DETAIL,election_card_number
HRM_EMP_PERSONAL_DETAIL,ration_card_number
HRM_EMP_PERSONAL_DETAIL,company_issued_mobile
HRM_EMP_PERSONAL_DETAIL,mobile_deduction
HRM_EMP_PERSONAL_DETAIL,canteen_allowance
HRM_EMP_PERSONAL_DETAIL,loan_installment_month
HRM_EMP_PERSONAL_DETAIL,created_by
HRM_EMP_PERSONAL_DETAIL,created_date
HRM_EMP_PERSONAL_DETAIL,updated_by
HRM_EMP_PERSONAL_DETAIL,updated_date
hrm_employee_master,id
hrm_employee_master,category_id
hrm_employee_master,confirmation_date
hrm_employee_master,created_by
hrm_employee_master,created_date
hrm_employee_master,date_of_joining
hrm_employee_master,department_id
hrm_employee_master,designation_id
hrm_employee_master,emp_code
hrm_employee_master,emp_level_id
hrm_employee_master,employee_name
hrm_employee_master,employee_type_id
hrm_employee_master,father_husband_name
hrm_employee_master,profile_upload
hrm_employee_master,refer_mode
hrm_employee_master,signature
hrm_employee_master,status
hrm_employee_master,title
hrm_employee_master,unit_id
hrm_employee_master,updated_by
hrm_employee_master,updated_date
hrm_employee_master,additional_role
hrm_employee_master,attendance_required
hrm_employee_master,business_manager
hrm_employee_master,daily_sheet_required
hrm_employee_master,emp_class
hrm_employee_master,exit_date
hrm_employee_master,exit_reason
hrm_employee_master,first_name
hrm_employee_master,fitness_certificate_upload
hrm_employee_master,grace_minutes
hrm_employee_master,grade_code
hrm_employee_master,guest
hrm_employee_master,home_manager
hrm_employee_master,induction_status
hrm_employee_master,last_name
hrm_employee_master,nda_certificate_upload
hrm_employee_master,next_revision_date
hrm_employee_master,old_emp_code
hrm_employee_master,petrol_allowance
hrm_employee_master,production_line
hrm_employee_master,shift
hrm_employee_master,shift_duration
hrm_employee_master,shift_name
hrm_employee_master,sub_category_id
hrm_employee_master,supplier_name
hrm_employee_master,team_group
hrm_employee_master,user_name
hrm_employee_master,is_auditor
hrm_employee_master,auditor_type
hrm_employee_master,auditor_file_info
hrm_employee_master,is_auditee
hrm_employee_master,auditee_type
hrm_employee_master,auditee_file_info
hrm_employee_master,is_ncr_approver
hrm_employee_master,ncr_approver_type
hrm_employee_master,ncr_approver_file_info
hrm_employee_master,is_chaired
hrm_employee_master,chaired_type
hrm_employee_master,is_host
hrm_employee_master,host_type
hrm_employee_master,is_participants
hrm_employee_master,participants_type
hrm_employee_master,segment
hrm_employee_master,sub_segment
hrm_employee_master,is_first_aid
hrm_employee_master,first_aid_file_info
hrm_employee_master,is_fire_fighter
hrm_employee_master,fire_fighter_file_info
hrm_employee_master,is_two_wheeler
hrm_employee_master,two_wheeler_file_info
hrm_employee_master,is_four_wheeler
hrm_employee_master,four_wheeler_file_info
hrm_employee_master,is_induction_eligible
hrm_employee_master,is_interviewer
hrm_employee_master,is_enquiry_assignee
hrm_employee_master,is_pr_assignee
hrm_grade_details,id
hrm_grade_details,created_by
hrm_grade_details,created_date
hrm_grade_details,grade_code
hrm_grade_details,grade_name
hrm_grade_details,seq_no
hrm_grade_details,status
hrm_grade_details,updated_by
hrm_grade_details,updated_date
HRM_LEVEL_MASTER,id
HRM_LEVEL_MASTER,level_name
HRM_TYPE_MASTER,id
HRM_TYPE_MASTER,type_name
PRODUCT_MASTER,id
PRODUCT_MASTER,legacy_id
PRODUCT_MASTER,category_id
PRODUCT_MASTER,sub_category_id
PRODUCT_MASTER,brand_id
PRODUCT_MASTER,product_title
PRODUCT_MASTER,product_slug
PRODUCT_MASTER,product_desc
PRODUCT_MASTER,product_features
PRODUCT_MASTER,featured_image
PRODUCT_MASTER,featured_image2
PRODUCT_MASTER,size_chart
PRODUCT_MASTER,product_mrp
PRODUCT_MASTER,selling_price
PRODUCT_MASTER,quantity
PRODUCT_MASTER,status
qms_checklist_assignment,id
qms_checklist_assignment,assigned_by
qms_checklist_assignment,assigned_date
qms_checklist_assignment,assigned_to
qms_checklist_assignment,carry_forward
qms_checklist_assignment,checklist_date
qms_checklist_assignment,remarks
qms_checklist_assignment,checklist_id
